state_name,parlimentary_constituency_name,assembly_constituency_name,nota_votes,candidate_name,party_name,votes_secured
Andhra Pradesh,Aruku ,Palakonda (ST),3736,KISHORE CHANDRA DEO,TDP,54056
Andhra Pradesh,Aruku ,Palakonda (ST),3736,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,BJP,1753
Andhra Pradesh,Aruku ,Palakonda (ST),3736,GODDETI. MADHAVI,YSRCP,69588
Andhra Pradesh,Aruku ,Palakonda (ST),3736,SHRUTI DEVI VYRICHERLA,INC,1327
Andhra Pradesh,Aruku ,Palakonda (ST),3736,GANGULAIAH VAMPURU.,JnP,2987
Andhra Pradesh,Aruku ,Palakonda (ST),3736,SWAMULA. SUBRAHMANYAM,JAJGP,203
Andhra Pradesh,Aruku ,Palakonda (ST),3736,ANUMULA VAMSIKRISHNA,IND,568
Andhra Pradesh,Aruku ,Palakonda (ST),3736,KANGALA BALUDORA,IND,418
Andhra Pradesh,Aruku ,Palakonda (ST),3736,NARAVA SATYAVATHI,IND,743
Andhra Pradesh,Aruku ,Palakonda (ST),3736,BIDDIKA RAMAYYA.,IND,636
Andhra Pradesh,Aruku ,Kurupam (ST),4383,KISHORE CHANDRA DEO,TDP,51399
Andhra Pradesh,Aruku ,Kurupam (ST),4383,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,BJP,3273
Andhra Pradesh,Aruku ,Kurupam (ST),4383,GODDETI. MADHAVI,YSRCP,71694
Andhra Pradesh,Aruku ,Kurupam (ST),4383,SHRUTI DEVI VYRICHERLA,INC,1954
Andhra Pradesh,Aruku ,Kurupam (ST),4383,GANGULAIAH VAMPURU.,JnP,5391
Andhra Pradesh,Aruku ,Kurupam (ST),4383,SWAMULA. SUBRAHMANYAM,JAJGP,469
Andhra Pradesh,Aruku ,Kurupam (ST),4383,ANUMULA VAMSIKRISHNA,IND,1082
Andhra Pradesh,Aruku ,Kurupam (ST),4383,KANGALA BALUDORA,IND,886
Andhra Pradesh,Aruku ,Kurupam (ST),4383,NARAVA SATYAVATHI,IND,1127
Andhra Pradesh,Aruku ,Kurupam (ST),4383,BIDDIKA RAMAYYA.,IND,793
Andhra Pradesh,Aruku ,Parvathipuram (SC),3982,KISHORE CHANDRA DEO,TDP,57159
Andhra Pradesh,Aruku ,Parvathipuram (SC),3982,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,BJP,1474
Andhra Pradesh,Aruku ,Parvathipuram (SC),3982,GODDETI. MADHAVI,YSRCP,68836
Andhra Pradesh,Aruku ,Parvathipuram (SC),3982,SHRUTI DEVI VYRICHERLA,INC,1362
Andhra Pradesh,Aruku ,Parvathipuram (SC),3982,GANGULAIAH VAMPURU.,JnP,4995
Andhra Pradesh,Aruku ,Parvathipuram (SC),3982,SWAMULA. SUBRAHMANYAM,JAJGP,189
Andhra Pradesh,Aruku ,Parvathipuram (SC),3982,ANUMULA VAMSIKRISHNA,IND,530
Andhra Pradesh,Aruku ,Parvathipuram (SC),3982,KANGALA BALUDORA,IND,390
Andhra Pradesh,Aruku ,Parvathipuram (SC),3982,NARAVA SATYAVATHI,IND,664
Andhra Pradesh,Aruku ,Parvathipuram (SC),3982,BIDDIKA RAMAYYA.,IND,386
Andhra Pradesh,Aruku ,Salur (ST),4995,KISHORE CHANDRA DEO,TDP,59128
Andhra Pradesh,Aruku ,Salur (ST),4995,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,BJP,1684
Andhra Pradesh,Aruku ,Salur (ST),4995,GODDETI. MADHAVI,YSRCP,76281
Andhra Pradesh,Aruku ,Salur (ST),4995,SHRUTI DEVI VYRICHERLA,INC,1730
Andhra Pradesh,Aruku ,Salur (ST),4995,GANGULAIAH VAMPURU.,JnP,3349
Andhra Pradesh,Aruku ,Salur (ST),4995,SWAMULA. SUBRAHMANYAM,JAJGP,261
Andhra Pradesh,Aruku ,Salur (ST),4995,ANUMULA VAMSIKRISHNA,IND,755
Andhra Pradesh,Aruku ,Salur (ST),4995,KANGALA BALUDORA,IND,483
Andhra Pradesh,Aruku ,Salur (ST),4995,NARAVA SATYAVATHI,IND,1154
Andhra Pradesh,Aruku ,Salur (ST),4995,BIDDIKA RAMAYYA.,IND,707
Andhra Pradesh,Aruku ,Araku Valley (ST),13937,KISHORE CHANDRA DEO,TDP,23849
Andhra Pradesh,Aruku ,Araku Valley (ST),13937,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,BJP,3354
Andhra Pradesh,Aruku ,Araku Valley (ST),13937,GODDETI. MADHAVI,YSRCP,83652
Andhra Pradesh,Aruku ,Araku Valley (ST),13937,SHRUTI DEVI VYRICHERLA,INC,3599
Andhra Pradesh,Aruku ,Araku Valley (ST),13937,GANGULAIAH VAMPURU.,JnP,8761
Andhra Pradesh,Aruku ,Araku Valley (ST),13937,SWAMULA. SUBRAHMANYAM,JAJGP,2034
Andhra Pradesh,Aruku ,Araku Valley (ST),13937,ANUMULA VAMSIKRISHNA,IND,3902
Andhra Pradesh,Aruku ,Araku Valley (ST),13937,KANGALA BALUDORA,IND,6430
Andhra Pradesh,Aruku ,Araku Valley (ST),13937,NARAVA SATYAVATHI,IND,3157
Andhra Pradesh,Aruku ,Araku Valley (ST),13937,BIDDIKA RAMAYYA.,IND,2653
Andhra Pradesh,Aruku ,Paderu (ST),9939,KISHORE CHANDRA DEO,TDP,27101
Andhra Pradesh,Aruku ,Paderu (ST),9939,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,BJP,3629
Andhra Pradesh,Aruku ,Paderu (ST),9939,GODDETI. MADHAVI,YSRCP,82473
Andhra Pradesh,Aruku ,Paderu (ST),9939,SHRUTI DEVI VYRICHERLA,INC,4151
