,state_name,constituency_name,assembly_constituency_name,nota_votes,candidate_name,party_name,secured_votes
0,Andhra Pradesh,Aruku,Palakonda,3736,KISHORE CHANDRA DEO,TDP,54056.0
1,Andhra Pradesh,Aruku,Palakonda,3736,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,BJP,1753.0
2,Andhra Pradesh,Aruku,Palakonda,3736,GODDETI. MADHAVI,YSRCP,69588.0
3,Andhra Pradesh,Aruku,Palakonda,3736,SHRUTI DEVI VYRICHERLA,INC,1327.0
4,Andhra Pradesh,Aruku,Palakonda,3736,GANGULAIAH VAMPURU.,JNP,2987.0
5,Andhra Pradesh,Aruku,Palakonda,3736,SWAMULA. SUBRAHMANYAM,JAJGP,203.0
6,Andhra Pradesh,Aruku,Palakonda,3736,ANUMULA VAMSIKRISHNA,IND,568.0
7,Andhra Pradesh,Aruku,Palakonda,3736,KANGALA BALUDORA,IND,418.0
8,Andhra Pradesh,Aruku,Palakonda,3736,NARAVA SATYAVATHI,IND,743.0
9,Andhra Pradesh,Aruku,Palakonda,3736,BIDDIKA RAMAYYA.,IND,636.0
10,Andhra Pradesh,Aruku,Kurupam,4383,KISHORE CHANDRA DEO,TDP,51399.0
11,Andhra Pradesh,Aruku,Kurupam,4383,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,BJP,3273.0
12,Andhra Pradesh,Aruku,Kurupam,4383,GODDETI. MADHAVI,YSRCP,71694.0
13,Andhra Pradesh,Aruku,Kurupam,4383,SHRUTI DEVI VYRICHERLA,INC,1954.0
14,Andhra Pradesh,Aruku,Kurupam,4383,GANGULAIAH VAMPURU.,JNP,5391.0
15,Andhra Pradesh,Aruku,Kurupam,4383,SWAMULA. SUBRAHMANYAM,JAJGP,469.0
16,Andhra Pradesh,Aruku,Kurupam,4383,ANUMULA VAMSIKRISHNA,IND,1082.0
17,Andhra Pradesh,Aruku,Kurupam,4383,KANGALA BALUDORA,IND,886.0
18,Andhra Pradesh,Aruku,Kurupam,4383,NARAVA SATYAVATHI,IND,1127.0
19,Andhra Pradesh,Aruku,Kurupam,4383,BIDDIKA RAMAYYA.,IND,793.0
20,Andhra Pradesh,Aruku,Parvathipuram,3982,KISHORE CHANDRA DEO,TDP,57159.0
21,Andhra Pradesh,Aruku,Parvathipuram,3982,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,BJP,1474.0
22,Andhra Pradesh,Aruku,Parvathipuram,3982,GODDETI. MADHAVI,YSRCP,68836.0
